Página,Linhas,Supabase,Placeholder,ShadcnUI,CSSVars,MockData,Classificação
AIAssistant,877,6,2,0,60,0,REAL
APIStatus,796,0,0,0,0,81,REAL
Achievements,489,0,0,0,0,43,REAL
AdsManager,793,2,1,0,84,0,REAL
Affiliates,257,2,0,0,0,10,REAL
AlshamOS,125,0,0,0,0,5,PARCIAL
Analytics,44,1,0,0,0,0,PARCIAL
AssetManagement,4,0,0,0,0,0,PLACEHOLDER
AuditTrail,4,0,0,0,0,0,PLACEHOLDER
Automacoes,155,5,0,0,2,0,REAL
AutomationBuilder,235,5,2,0,37,0,REAL
Automations,45,1,0,0,0,0,PARCIAL
BackupStatus,4,0,0,0,0,0,PLACEHOLDER
Badges,4,0,0,0,0,0,PLACEHOLDER
BehavioralTracking,4,0,0,0,0,0,PLACEHOLDER
Benefits,4,0,0,0,0,0,PLACEHOLDER
Blog,277,2,0,0,9,0,REAL
BoardView,4,0,0,0,0,0,PLACEHOLDER
BudgetPlanning,4,0,0,0,0,0,PLACEHOLDER
Calendar,167,2,0,0,3,0,REAL
CallCenter,274,2,0,0,11,0,REAL
Campaigns,150,3,0,0,0,0,REAL
CapTable,4,0,0,0,0,0,PLACEHOLDER
CarbonFootprint,275,3,0,0,8,0,REAL
CashFlow,4,0,0,0,0,0,PLACEHOLDER
Certification,4,0,0,0,0,0,PLACEHOLDER
Changelog,4,0,0,0,0,0,PLACEHOLDER
ChurnPrediction,4,0,0,0,0,0,PLACEHOLDER
CompetitorTracking,4,0,0,0,0,0,PLACEHOLDER
Compliance,273,2,0,0,10,0,REAL
Contacts,183,2,0,0,4,0,REAL
ContentCalendar,298,2,0,0,10,0,REAL
ContractManagement,4,0,0,0,0,0,PLACEHOLDER
Contracts,258,2,0,0,9,0,REAL
CultureDashboard,4,0,0,0,0,0,PLACEHOLDER
Customer360,237,9,0,0,18,1,REAL
DEI,4,0,0,0,0,0,PLACEHOLDER
Dashboard,485,5,0,0,32,0,REAL
DataLake,4,0,0,0,0,0,PLACEHOLDER
DealIntelligence,4,0,0,0,0,0,PLACEHOLDER
DeveloperPortal,4,0,0,0,0,0,PLACEHOLDER
DisasterRecovery,4,0,0,0,0,0,PLACEHOLDER
ESG,284,3,0,0,8,0,REAL
EmailMarketing,262,3,0,0,9,0,REAL
EmployeeEngagement,4,0,0,0,0,0,PLACEHOLDER
EngineeringLeaderboard,4,0,0,0,0,0,PLACEHOLDER
EquityManagement,4,0,0,0,0,0,PLACEHOLDER
Events,283,2,0,0,11,0,REAL
ExecutiveDashboard,403,4,0,0,27,0,REAL
ExpenseReports,4,0,0,0,0,0,PLACEHOLDER
Feedback360,4,0,0,0,0,0,PLACEHOLDER
Financeiro,285,2,0,0,42,1,REAL
Gamificacao,260,4,0,0,5,0,REAL
Gamification,96,2,0,0,0,0,PARCIAL
Goals,4,0,0,0,0,0,PLACEHOLDER
HRDashboard,4,0,0,0,0,0,PLACEHOLDER
Home,196,8,0,0,7,0,REAL
ITInventory,4,0,0,0,0,0,PLACEHOLDER
Inbox,264,4,1,0,12,0,REAL
IncidentResponse,4,0,0,0,0,0,PLACEHOLDER
InvestorPortal,4,0,0,0,0,0,PLACEHOLDER
Investors,254,2,0,0,8,0,REAL
Invoices,255,2,0,0,14,0,REAL
KnowledgeBase,271,2,2,0,9,0,REAL
LandingPageBuilder,337,6,3,0,58,0,REAL
LandingPages,229,4,0,0,40,0,REAL
LeadScoring,4,0,0,0,0,0,PLACEHOLDER
Leaderboard,237,2,0,0,6,0,REAL
Leads,209,3,1,0,0,0,REAL
LeadsDetails,278,2,0,0,21,0,REAL
LiveChat,280,3,0,0,11,0,REAL
MarketIntelligence,4,0,0,0,0,0,PLACEHOLDER
MarketingLeaderboard,4,0,0,0,0,0,PLACEHOLDER
Metaverse,401,2,1,0,16,0,REAL
NFTGallery,251,4,0,0,35,0,REAL
OKRs,4,0,0,0,0,0,PLACEHOLDER
Offboarding,4,0,0,0,0,0,PLACEHOLDER
OmnichannelInbox,329,9,1,0,21,0,REAL
Onboarding,4,0,0,0,0,0,PLACEHOLDER
OnboardingFlow,4,0,0,0,0,0,PLACEHOLDER
Opportunities,159,3,0,0,0,0,REAL
Orders,261,2,0,0,14,0,REAL
Partners,258,2,0,0,8,0,REAL
Payroll,4,0,0,0,0,0,PLACEHOLDER
PerformanceMetrics,4,0,0,0,0,0,PLACEHOLDER
PerformanceReviews,4,0,0,0,0,0,PLACEHOLDER
Pipeline,278,5,1,0,31,0,REAL
PointsHistory,4,0,0,0,0,0,PLACEHOLDER
PredictiveModels,4,0,0,0,0,0,PLACEHOLDER
Procurement,4,0,0,0,0,0,PLACEHOLDER
Products,268,2,0,0,11,0,REAL
Proposals,246,2,0,0,9,0,REAL
Publicacao,163,0,0,0,2,0,REAL
PulseSurveys,4,0,0,0,0,0,PLACEHOLDER
Quotes,200,2,0,0,3,0,REAL
Recognition,4,0,0,0,0,0,PLACEHOLDER
Recruitment,4,0,0,0,0,0,PLACEHOLDER
RelationshipMap,4,0,0,0,0,0,PLACEHOLDER
Reports,226,7,0,0,7,0,REAL
RevenueForecast,4,0,0,0,0,0,PLACEHOLDER
RewardsStore,4,0,0,0,0,0,PLACEHOLDER
RiskManagement,4,0,0,0,0,0,PLACEHOLDER
SEO,262,3,0,0,13,0,REAL
SMS,239,2,0,0,9,0,REAL
SalesLeaderboard,4,0,0,0,0,0,PLACEHOLDER
SalesPlaybook,4,0,0,0,0,0,PLACEHOLDER
Seguranca,230,5,0,0,5,0,REAL
SentimentAnalysis,4,0,0,0,0,0,PLACEHOLDER
Settings,67,1,0,0,0,0,PARCIAL
ShareholderReports,4,0,0,0,0,0,PLACEHOLDER
SocialMedia,261,3,0,0,20,0,REAL
SoftwareLicenses,4,0,0,0,0,0,PLACEHOLDER
StockOptions,4,0,0,0,0,0,PLACEHOLDER
SupportLeaderboard,4,0,0,0,0,0,PLACEHOLDER
SupportTickets,266,2,0,0,8,0,REAL
Sustainability,273,3,0,0,16,0,REAL
SystemHealth,4,0,0,0,0,0,PLACEHOLDER
Tasks,258,2,0,0,7,0,REAL
TaxCompliance,4,0,0,0,0,0,PLACEHOLDER
TeamPerformance,4,0,0,0,0,0,PLACEHOLDER
TheBoardroomOmega,240,0,1,0,11,0,REAL
TimeTracking,4,0,0,0,0,0,PLACEHOLDER
TrainingCenter,4,0,0,0,0,0,PLACEHOLDER
TravelManagement,4,0,0,0,0,0,PLACEHOLDER
Treasury,4,0,0,0,0,0,PLACEHOLDER
UnderConstruction,74,0,4,0,1,0,PARCIAL
UptimeMonitor,4,0,0,0,0,0,PLACEHOLDER
VendorManagement,4,0,0,0,0,0,PLACEHOLDER
VirtualOffice,246,3,0,0,11,0,REAL
VoiceCommands,4,0,0,0,0,0,PLACEHOLDER
WarArena,349,8,0,0,26,0,REAL
Webinars,255,2,0,0,10,0,REAL
Whatsapp,206,1,0,0,6,0,REAL
WorkflowEngine,4,0,0,0,0,0,PLACEHOLDER
